"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"PROJ_DIST_DETAIL"	"ROWID"	"int"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"PROJECT_ID"	"nvarchar"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"SOURCE_TYPE"	"nvarchar"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"SOURCE_ID"	"nvarchar"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"SOURCE_TRANS_ID"	"int"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"SOURCE_LINE_NO"	"smallint"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"DIST_NO"	"smallint"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"PROJECT_SUMMARY_ID"	"nvarchar"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"SOURCE_LOT_ID"	"nvarchar"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"SOURCE_SPLIT_ID"	"nvarchar"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"SOURCE_SUB_ID"	"nvarchar"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"ACT_MATERIAL_COST"	"decimal"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"ACT_LABOR_COST"	"decimal"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"ACT_BURDEN_COST"	"decimal"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"ACT_SERVICE_COST"	"decimal"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"PROJ_DIST_DETAIL"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"PROJ_DIST_DETAIL"	"ACT_HOURS"	"decimal"	"YES"
