"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PHYSICAL_COUNT"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PHYSICAL_COUNT"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"3"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"PHYSICAL_COUNT"	"4"	"START_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"5"	"STARTING_TAG_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"6"	"EXTRA_TAGS_BLANK"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"7"	"TAGS_PER_GROUP"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"8"	"STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"9"	"LOCK_INVENTORY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"10"	"ADJ_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PHYSICAL_COUNT"	"11"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"12"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PHYSICAL_COUNT"	"13"	"DEFICIT_USER_DIMENSION_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PHYSICAL_COUNT"	"14"	"DEFICIT_USER_DIMENSION_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PHYSICAL_COUNT"	"15"	"DEFICIT_CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PHYSICAL_COUNT"	"16"	"OVERSTOCK_USER_DIMENSION_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PHYSICAL_COUNT"	"17"	"OVERSTOCK_USER_DIMENSION_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PHYSICAL_COUNT"	"18"	"OVERSTOCK_CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
