"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SHOP_RESOURCE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SHOP_RESOURCE"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"3"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"4"	"SCHEDULE_NORMALLY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"5"	"AUTO_REPORTING"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"6"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"7"	"EXCLUSIVITY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"8"	"SHIFT_1_CAPACITY"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"9"	"SHIFT_2_CAPACITY"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"10"	"SHIFT_3_CAPACITY"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"11"	"SCHEDULE_GROUP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"12"	"STATUS_RANK"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE"	"22"	"GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"23"	"AFC_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"24"	"AFB_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"25"	"GRID_ROW"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"26"	"GRID_COLUMN"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"27"	"SCHEDULE_TYPE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"28"	"MIN_SEGMENT_SIZE"	"decimal"	"NULL"	"14"	"2"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"29"	"EFFICIENCY_FACTOR"	"decimal"	"NULL"	"14"	"2"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"30"	"SERVICE_BUFFER"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"31"	"MONITOR_LOAD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"32"	"WBS_RESOURCE_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"33"	"COST_CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"34"	"DEPARTMENT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"35"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"36"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"37"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"38"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"39"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"40"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"41"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"42"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"43"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"44"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"45"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"46"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE"	"47"	"BID_RATE_CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
